epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
83,14671.9,1.47881,1.87451,0.01929,0.99972,0.62929,0.52475,0.57427,0.37752,1.37426,1.53587,0.02218,0,0.0079705,0.0079705,0.0079705,0.00398525,0.015941
84,14785,1.47087,1.87249,0.01912,0.9996,0.63343,0.52294,0.57444,0.37788,1.37348,1.53508,0.02214,0,0.00794575,0.00794575,0.00794575,0.00397287,0.0158915
85,14897.9,1.47378,1.86045,0.01909,0.99975,0.63542,0.52223,0.57495,0.3786,1.37308,1.53318,0.02213,0,0.007921,0.007921,0.007921,0.0039605,0.015842
86,15012.7,1.47399,1.86213,0.0192,0.99987,0.63287,0.52345,0.5755,0.37923,1.37222,1.53174,0.02211,0,0.00789625,0.00789625,0.00789625,0.00394813,0.0157925
87,15127,1.4658,1.86564,0.01911,0.99967,0.63569,0.5232,0.57611,0.37983,1.37192,1.5298,0.02209,0,0.0078715,0.0078715,0.0078715,0.00393575,0.015743
88,15239.9,1.45485,1.85438,0.01904,0.99969,0.63578,0.52514,0.57655,0.38032,1.36979,1.53096,0.02205,0,0.00784675,0.00784675,0.00784675,0.00392337,0.0156935
89,15353.1,1.46106,1.85683,0.01904,0.99982,0.63561,0.52409,0.57715,0.38089,1.36866,1.52999,0.02202,0,0.007822,0.007822,0.007822,0.003911,0.015644
90,15466.6,1.46389,1.85318,0.0191,0.99985,0.64179,0.52378,0.57737,0.38125,1.36899,1.52742,0.02202,0,0.00779725,0.00779725,0.00779725,0.00389863,0.0155945
91,15579.6,1.46356,1.8531,0.01915,0.99954,0.64037,0.52513,0.57809,0.38193,1.36858,1.52421,0.022,0,0.0077725,0.0077725,0.0077725,0.00388625,0.015545
92,15695.9,1.45631,1.83985,0.01896,0.99988,0.64059,0.5239,0.57892,0.38269,1.36787,1.52173,0.02199,0,0.00774775,0.00774775,0.00774775,0.00387388,0.0154955
93,15844.3,1.4535,1.83493,0.01902,0.99983,0.63644,0.52672,0.57957,0.3834,1.36788,1.51932,0.02197,0,0.007723,0.007723,0.007723,0.0038615,0.015446
94,15989.4,1.47217,1.84606,0.01906,0.99984,0.64296,0.52409,0.58055,0.38419,1.36739,1.5176,0.02198,0,0.00769825,0.00769825,0.00769825,0.00384913,0.0153965
95,16102.4,1.45126,1.83393,0.01893,0.99975,0.64043,0.52535,0.58116,0.3847,1.36666,1.51637,0.02196,0,0.0076735,0.0076735,0.0076735,0.00383675,0.015347
96,16216.1,1.4575,1.83086,0.01893,0.99987,0.64462,0.52284,0.58203,0.38492,1.36599,1.5155,0.02193,0,0.00764875,0.00764875,0.00764875,0.00382438,0.0152975
97,16328.2,1.46632,1.83072,0.01896,0.99977,0.65178,0.52026,0.58246,0.38534,1.36557,1.5137,0.02193,0,0.007624,0.007624,0.007624,0.003812,0.015248
98,16471.1,1.4575,1.83142,0.01893,0.99982,0.65506,0.51781,0.58267,0.38571,1.36422,1.51308,0.0219,0,0.00759925,0.00759925,0.00759925,0.00379963,0.0151985
99,16628,1.45247,1.8377,0.0188,0.99988,0.64293,0.52713,0.58352,0.38636,1.36425,1.5102,0.02191,0,0.0075745,0.0075745,0.0075745,0.00378725,0.015149
100,16742.2,1.45241,1.82,0.01891,0.99968,0.64703,0.52461,0.58409,0.38703,1.36328,1.50892,0.02189,0,0.00754975,0.00754975,0.00754975,0.00377488,0.0150995
101,16856,1.44927,1.8219,0.01865,0.99991,0.64728,0.52508,0.58439,0.38746,1.3622,1.50783,0.02186,0,0.007525,0.007525,0.007525,0.0037625,0.01505
102,16967.2,1.45031,1.82499,0.01884,0.99984,0.64864,0.52314,0.58474,0.38808,1.36173,1.50592,0.02184,0,0.00750025,0.00750025,0.00750025,0.00375013,0.0150005
103,17079.3,1.45056,1.82176,0.01882,0.99982,0.64834,0.52349,0.58519,0.38835,1.361,1.50507,0.02183,0,0.0074755,0.0074755,0.0074755,0.00373775,0.014951
104,17191.1,1.4458,1.82293,0.01869,0.99992,0.64808,0.52502,0.58584,0.38912,1.36063,1.50281,0.02182,0,0.00745075,0.00745075,0.00745075,0.00372537,0.0149015
105,17303.9,1.44953,1.81604,0.01873,0.99979,0.64989,0.52417,0.58657,0.38966,1.36021,1.50144,0.02182,0,0.007426,0.007426,0.007426,0.003713,0.014852
106,17418.7,1.44545,1.81806,0.01868,0.99983,0.65599,0.52193,0.58692,0.38982,1.35943,1.50015,0.0218,0,0.00740125,0.00740125,0.00740125,0.00370063,0.0148025
107,17532.8,1.44024,1.79972,0.01872,0.99997,0.6575,0.52226,0.5875,0.39027,1.35903,1.4984,0.0218,0,0.0073765,0.0073765,0.0073765,0.00368825,0.014753
108,17646.7,1.44822,1.80196,0.01873,0.99986,0.65424,0.5243,0.58787,0.39069,1.35833,1.49666,0.02178,0,0.00735175,0.00735175,0.00735175,0.00367587,0.0147035
109,17761,1.44593,1.81939,0.01867,0.99994,0.65504,0.52441,0.58826,0.39132,1.35857,1.49439,0.02177,0,0.007327,0.007327,0.007327,0.0036635,0.014654
110,17873,1.4514,1.80221,0.01864,0.99978,0.65372,0.52491,0.58908,0.39209,1.35769,1.49311,0.02176,0,0.00730225,0.00730225,0.00730225,0.00365113,0.0146045
111,17986.6,1.44393,1.79203,0.0187,0.99986,0.64922,0.52755,0.58982,0.39274,1.35748,1.49097,0.02176,0,0.0072775,0.0072775,0.0072775,0.00363875,0.014555
112,18158.5,1.44307,1.80256,0.01861,0.99984,0.64617,0.53106,0.59041,0.39345,1.35735,1.48804,0.02176,0,0.00725275,0.00725275,0.00725275,0.00362637,0.0145055
113,18330.1,1.44353,1.80368,0.01863,0.99985,0.65132,0.5292,0.59101,0.39391,1.35678,1.48578,0.02175,0,0.007228,0.007228,0.007228,0.003614,0.014456
114,18503.6,1.43591,1.79378,0.01858,0.99987,0.64743,0.53292,0.59205,0.39463,1.35539,1.48474,0.02172,0,0.00720325,0.00720325,0.00720325,0.00360163,0.0144065
115,18682,1.43691,1.78587,0.01854,0.99985,0.65948,0.52703,0.59293,0.39551,1.35473,1.48327,0.02171,0,0.0071785,0.0071785,0.0071785,0.00358925,0.014357
116,18853,1.43495,1.78533,0.01847,0.99998,0.65228,0.5322,0.59342,0.39585,1.35354,1.48224,0.02168,0,0.00715375,0.00715375,0.00715375,0.00357688,0.0143075
117,19023.4,1.4435,1.78315,0.01865,0.99987,0.65694,0.53087,0.59379,0.39655,1.35345,1.47959,0.02169,0,0.007129,0.007129,0.007129,0.0035645,0.014258
118,19204.5,1.43767,1.78917,0.01856,1,0.65743,0.53125,0.59432,0.39717,1.35197,1.47909,0.02166,0,0.00710425,0.00710425,0.00710425,0.00355212,0.0142085
119,19380.2,1.43208,1.78125,0.01861,0.99983,0.65352,0.53709,0.59518,0.39778,1.35156,1.47717,0.02165,0,0.0070795,0.0070795,0.0070795,0.00353975,0.014159
120,19551.7,1.42295,1.76235,0.01859,1.00009,0.66069,0.53101,0.59536,0.39785,1.35046,1.47627,0.02162,0,0.00705475,0.00705475,0.00705475,0.00352737,0.0141095
121,19719.6,1.44402,1.77772,0.01857,0.99971,0.66429,0.53021,0.59612,0.39843,1.35042,1.47396,0.02163,0,0.00703,0.00703,0.00703,0.003515,0.01406
122,19897.3,1.44037,1.76838,0.01854,0.9999,0.66789,0.52927,0.59657,0.39883,1.34987,1.47311,0.02162,0,0.00700525,0.00700525,0.00700525,0.00350263,0.0140105
